Issue Summary,Category 1
UI is not correct while registering for BNPL,Goal Screeen Issue
UI is not correct when user is trying to do BNPL payment using pay in 3 EMI,Goal Screen  Issue
While selecting BNPL payment option for Payment more than credit limit error format is not correct,BNPL
While selecting BNPL payment option for overdue bills error message format is not correct,BNPL
Buy Now Pay later page is not loading after clicking on Check eligibility.,Buy Now Pay later
Bottom message of success screen is incorrect while creation goal.,Goal screen issue
Space and Format issue on Date/Time of Confirmation and Success details page of Create Goal.,Goal screen issue
User is getting blank validation message when canceling the goal.,Goal Screen issue
Wrong button are visible on the transaction successful page,Transaction page 
Pouch Deducted amount is not correct on Confirmation Page while paying for OverDue bills,Confirmation Page
The text label on transaction receipt page for successful is not as per the wireframe,transaction receipt
Visa logo should be at the downwards of the card number text box,Visa logo
Value of transaction amount is not getting displayed on confirmation and success screens of load money.,Load money
"User is able to load money with amount as 0, and in success page its showing amount as 50.",Success page 
"User is not able to upload the profile image, getting error ""Invalid method request"" in console.",Upload image
Repeat word is getting displaying on success page of Create Goal.,Goal and Success screen issue
The page keeps loading when user clicks on Transaction history details.,Transaction history
Wrong date is showing in the information text,backend issues
User is able to select BNPL Payment option even we add more amount than credit limit for BNPL,BNPL
Wrong UI and colors on the transaction receipt for web portal when goal is created,transaction receipt
User is able to select BNPL Payment option even it has not cleared unpaid bills for BNPL,BNPL
Information text is not proper,Information text
Download icon button icon is not working on the GBS screen of Web portal,GBS
"User is not able to do load money from Goal-based savings, getting ""Something Went Wrong"".",Load money
"Getting ""Service Unavailable"" when user clicks on Withdraw Money.",Withdraw money
Congratulation and Oh no page is visible at after clicking BNPL on Payment option Page,BNPL
Blank page is getting displayed when user clicks 'Add money to wallet'.,Add money
Getting error in banklist API of Create Goal page.,Create goal
Alignment of the back button is wrong on the LNR Profile page on web portal,LNR Profile
"Not able to see newly created goal in the Current/Past goal list, getting error in getWallet API.",Goal Screen Issue
Error pop is visible after clicking on pay button for bill due date BNPL,BNPL Payment
Download button is not working from View more screen of Loyalty Point Expiry History,LOYALTY Point Expiry History
Both Oh No and congratulation page is visible at on Eligibility criteria page for BNPL,BNPL 
Loyalty Transaction Page is not visible able clicking on View more,LOYALTY Point History Screen
Updated Monetary value and conversation details is not visible in Success Transaction Page,Transaction page
Transaction Receipt Page is not visible.,Transaction page
The page is loading for Transaction summary on customer web portal.,Transaction page
"After clicking on the back button , the user is redirected to the Points expiry screen",Points expiry Screen
Redeem Points is showing wrong transaction sense (like showing Green instead of red),Redeem points
Updated balance and Wallet balance are different,wallet
Able to add card with invalid card number.,Add card
"p2p is failing when pay through BNPL_POUCH, cards, bank account",BNPL
User is not able to click on any transaction in transaction summary on LNR dashboard,LNR dashboard
Home icon is not visible on the transaction receipt page,Transaction page
UI on the loyalty and rewards is not proper,LOYALTY Point History Screen
"""Nasswallet"" is displayed on URL header",Nasswallet
"""Nasswallet"" name under the Element Name",Nasswallet
Earned Loyalty points are not visible in the transaction receipt and transaction history,LOYALTY Point History Screen
Special character is accepted under CVV,CVV
Transaction successfull screen is incorrect as given in the req. documents.,Transaction page
The button of Download Catalogue should not be visible when the admin has not uploaded any file in it.,Download Catalogue
Image is not displayed on the LNR silver profile page,LNR Profile
Back button is not visible in LNR profile page,LNR Profile
Change payment options for Pay by points button is not visible in payment instruments,Payment instrument
View terms and conditions button is not working,Terms and Conditions 
Blank page is displayed on the click of View more button,ui inconsistency
What's next link is not visible on the LNR dashboard,LNR dashboard
Transactions are not visible in the LNR Transaction Summary,LNR Transaction summary
Transactions are not visible in the Transactions report,transaction page
"Updated Balance is not updated ""NAN"" is displayed after the money transfer is successful",NAN
user is not able to make p2p with Mobifin web,P2P
"when overdue bills are there, it still allowing to Use BNPL pouch for p2p transfer.",BNPL
"In The Congratulation page, we are not able to see the Credit limit",Congratulations page
Eligibility criteria Text for BNPl is not matching with the Criteria Text given in the Requirement Document.,BNPL
"when user has pending bills From the bill generation date till the bill due date, still it is giving error-kindly pay your unpaid bills",payment
Pending bills date is passed but that bill is not updated with Overdue bill,payment
"Credit amount is not matching in All set screen and BNPL profile screen, credit amount in the All Set screen is not separated with "".""",BNPL
2 pending bills are displaying for same billing cycle month,Transaction
"While paying pending bills, pay bill screen is not as per req.document/wireframe",Transaction issue
"currency on progress bar and confirmation page and transaction successfull page , every where in the application currency is shown as ""IQD"" and in req. doc/wireframe it is shown as""$""",Progress bar
When we click on any Header Under recent Bills we get a SORT option visible,SORT
Recent Transaction screen is not visible on BNPL profile page,BNPL
Available credit limit and pregress bar value are not matching on BNPL dashboar,BNPL
When amount is greater that BNPL EMI threshold amount then PAY in 3 emi is not working,BNPL
"In congratulations page, ""Later"" button is not present",Congratulations page
criteria Text and validation text for min. average transactions are not correct and when check eligibility criteria process when Min Average Transaction value is not met,Criteria Text
eligibility criteria text and validation Text for activatio period are not correct when check eleigibility screen when Activation period is not completed,Criteria Text
Incorect Criteria Text when check eligibility criteria process when both criteria for minimum activation period and the minimum average transaction value are not met,Criteria Text
BNPL dashboard page taking 2-3 mins time when loading and No Data Displayed on Dashboard screen though we have done Transaction using BNPL,BNPL
check eligibility screen should be some more large so we can see the Text on it,check eligibility
multi pay option- when bank account selected then only confirm button is enable when BNPL selected it is disabled(failure user) And User is not able to choose BNPL for Multipaymentb Case,BNPL
Money Transfer and confirmation Details page Title are incorrect as shown in the requirement documents and image for both screens are missing,Confirmation Page
Change payment option text is in Sky blue color and in documents it is in black color,Change payment
"Download button in the Transaction from current statement is disabled and there is No print , share option available for WEB",transaction page
pay in full and emi Text at confirmation page and transaction sucsefull validation text is incorrect as per re. doc.,Confirmation Page
Buttons size are not proper on Confirmation Page.,Confirmation Page
 Top label Spacing margin - Payment Instrument Selection Page,Payment instrument
[Mobile App] Keypad should be numeric when user enters mobile number while doing Topup.,Keypad
Incorrect Monetary value is getting displayed on Buy Voucher transaction success screen.,Buy voucher
Credit Value and Progress bar is not proper on BNPL Dashboard,BNPL
"After entering invalid member Mobile numner, getting wrong error message",invalid member Mobile Number
"Getting ""Data not found"" when user tries to open ""Declined by you"" card in payment status tab",Payment status tab
Filter is not working properly on the Goal History page,Goal History page
"After click on Paid by All, the status automatic change to Mark as Paid",Paid by All
Error message is not correct for already added member,already added member
Error message is not correct for already added group,already added group
Close (X) is not visible on the Remove All pop-up,Remove All pop-up
UI of the pending payment tab for member is not matching with the wireframe,pending payment tab
"""Split Payment - Decline"" text should visible at the top of the screen after clicking on the decline button",Split Payment
UI of the payment status for admin/Member is not matching with the wireframe,payment status
LNR Profile Wrong Shown,LNR Profile
Image is upload is not working while creating Group in SplitPayment,Split Payment
"No. of Members is showing incorrect on group tile on the Split Payment screen, when going back by clicking mobile's back button",Split Payment
After getting the error for uploading more than 100KB of image still user is able to create the group and move forward,Oversize image upload
Image is not showing properly on the added group tile on the split payment screen,Split Payment
